variant,product,colour,material,sku,pac_size,image,category,price
12mm x 210mm,Bamboo Pulp Boba Straws - Wrapped,Natural/Beige,Bamboo Pulp,BB-PULP-BOB,2400,,straws,118.2
6mm x 150mm,Bamboo Fibre Straws - Black,Black,Bamboo Fibre,BB-FBRBL-15,2500,d3bbf0_42dd58e39d4f40be8a7a2f944e4c3162~mv2.png,straws,69.56
6mm x 150mm,Bamboo Fibre Straws - Natural/Beige,Natural/Beige,Bamboo Fibre,BB-FBRN-15,2500,d3bbf0_c09181d0511044d790037141d2193a96~mv2.jpg,straws,69.56
"6mm x 150mm - pack of 10,000",Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-15-L,10000,,straws,170
"6mm x 150mm - pack of 5,000",Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-15-M,5000,,straws,
"6mm x 150mm - pack of 2,500",Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-15,2500,d3bbf0_4b3d8d48088b4d1f8e3a69bf59e9bfd7~mv2.jpg,straws,40
6mm x 200mm,Bamboo Fibre Straws - Black,Black,Bamboo Fibre,BB-FBRBL-20,2500,d3bbf0_99fe3d9f1f5840b095197cef436a04b7~mv2.png,straws,78.62
6mm x 200mm,Bamboo Fibre Straws - Natural/Beige,Natural/Beige,Bamboo Fibre,BB-FBRN-20,2500,d3bbf0_18c5242b53c143e38a6baddb3057e4c6~mv2.jpg,straws,78.62
"6mm x 200mm - pack of 10,000",Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-20-L,10000,d3bbf0_4b3d8d48088b4d1f8e3a69bf59e9bfd7~mv2.jpg,straws,180
"6mm x 200mm - pack of 5,000",Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-20-M,5000,d3bbf0_4b3d8d48088b4d1f8e3a69bf59e9bfd7~mv2.jpg,straws,96.5
8mm x 200mm,Bamboo Pulp Straws,Natural/Beige,Bamboo Pulp,BB-PULP-JUM,5000,d3bbf0_ddd3b4158ccc47c59224e7c9a42ce352~mv2.png,straws,150.49
1300ml/49oz,Kraft Deli Box,Kraft,Kraft,NO8KDV,300,d3bbf0_e2a7021f94e640be9d311dd15ff9a927~mv2.webp,takeaway-containers,52
1900ml/69oz,Kraft Deli Box,Kraft,Kraft,NO3KDV,200,d3bbf0_f69cdb89e9794b7d990963fa99d878f3~mv2.jpeg,takeaway-containers,37.21
